Word,Verb,Noun,Adj,Adv,Prep,Pron,Article,Prop,Num,Interj,Label
ABRASIVE,2,6,0,0,3,0,0,0,0,0,TRUE
ABRASIVELY,3,6,2,1,3,1,0,0,0,0,TRUE
ABRASIVENESS,3,3,0,1,2,0,0,0,0,0,TRUE
ABREAST,2,6,3,1,2,0,0,0,0,0,TRUE
ABRIDGE,2,2,1,2,1,0,0,0,0,0,TRUE
ABRIDGED,1,3,0,2,1,0,0,0,0,1,TRUE
ABRIDGMENT,2,1,0,1,1,1,0,0,0,0,TRUE
ABROAD,6,7,1,0,3,0,1,0,0,0,TRUE
ABRUPT,5,6,0,1,2,1,0,0,0,0,TRUE
ABRUPTLY,3,3,1,2,0,4,0,0,0,0,TRUE
ABRUPTNESS,3,3,5,1,0,0,0,0,0,0,TRUE
ABSCESS,4,6,2,0,0,2,1,0,0,0,TRUE
ABSCESSED,3,2,1,1,2,1,1,0,0,0,TRUE
ABSENCE,1,2,1,2,2,1,0,0,0,0,TRUE
ABSENT,3,3,1,0,1,2,0,1,0,0,TRUE
ABSENTEE,6,0,0,4,1,5,0,0,0,0,TRUE
ABSENTEEISM,3,8,2,0,3,1,1,0,1,0,TRUE
ABSENTLY,2,3,0,0,2,2,0,0,0,0,TRUE
ABSENTMINDED,2,3,1,0,2,2,0,0,0,0,TRUE
ABSENTMINDEDLY,2,5,0,0,2,2,0,0,0,0,TRUE
ABSENTMINDEDNESS,2,4,0,0,2,2,0,0,0,0,TRUE
ABSENTNESS,2,4,1,1,2,0,0,0,0,0,TRUE
ABSINTHE,3,3,1,1,3,2,0,0,0,0,TRUE
ABSOLUTE,6,6,2,1,4,4,1,0,2,0,TRUE
ABSOLUTELY,3,8,1,1,3,1,0,0,0,0,TRUE
ABSOLUTENESS,2,5,2,1,1,0,0,0,0,0,TRUE
ABSOLUTION,3,4,3,3,5,2,0,0,0,0,TRUE
ABSOLUTISM,3,2,1,1,2,1,0,1,0,0,TRUE
ABSOLUTIST,2,2,0,1,0,0,0,0,0,0,TRUE
ABSOLVABLE,1,3,1,0,1,0,0,0,0,0,TRUE
ABSOLVE,1,2,1,1,0,0,1,0,0,0,TRUE
ABSORB,3,2,0,0,1,1,0,0,0,0,TRUE
ABSORBABILITY,1,3,3,1,0,0,0,1,0,0,TRUE
ABSORBABLE,1,0,1,2,0,0,0,1,0,0,TRUE
ABSORBED,2,4,0,0,2,0,0,0,0,0,TRUE
ABSORBENCY,2,3,0,0,2,2,0,0,0,0,TRUE
ABSORBENT,0,3,2,0,3,0,0,0,0,0,TRUE
ABSORBER,2,3,2,0,2,1,0,0,0,0,TRUE
ABSORBING,3,4,1,1,0,0,1,0,0,0,TRUE
ABSORBINGLY,4,4,3,1,2,2,0,0,1,0,TRUE
ABSORPTION,3,1,2,3,1,1,0,0,0,0,TRUE
ABSORPTIVENESS,3,6,2,1,3,0,0,0,0,0,TRUE
ABSTAIN,1,5,0,3,1,0,0,0,1,0,TRUE
ABSTAINER,2,5,0,0,1,0,0,0,2,0,TRUE
ABSTENTION,4,13,4,2,5,0,0,0,2,0,TRUE
ABSTINENCE,2,5,0,1,2,0,0,0,0,0,TRUE
ABSTINENT,4,6,2,1,2,0,0,0,0,0,TRUE
ABSTINENTLY,2,3,1,2,1,1,0,0,0,0,TRUE
ABSTRACT,7,6,2,1,3,2,0,0,0,0,TRUE
ABSTRACTED,4,4,3,2,1,0,0,2,0,0,TRUE
ABSTRACTEDLY,1,2,1,0,2,0,0,1,0,0,TRUE
ABSTRACTEDNESS,6,9,4,1,3,2,0,0,1,0,TRUE
ABSTRACTION,5,7,3,1,2,2,0,0,0,0,TRUE
ABSTRACTIONISM,2,4,2,0,2,0,0,0,0,0,TRUE
ABSTRACTIONIST,1,4,1,1,0,0,0,1,0,0,TRUE
ABSTRACTIVE,3,3,2,1,0,0,0,0,0,0,TRUE
ABSTRACTLY,3,2,1,0,1,0,0,2,0,0,TRUE
ABSTRACTNESS,4,6,2,1,2,0,0,0,0,0,TRUE
ABSURD,0,4,1,0,1,0,0,0,0,0,TRUE
ABSURDITY,4,4,0,1,2,0,0,1,0,0,TRUE
ABSURDLY,2,1,0,1,0,0,0,2,0,0,TRUE
