Word,Verb,Noun,Adj,Adv,Prep,Pron,Article,Prop,Num,Interj,Label
ABSOLUTENESS,1,4,1,0,1,0,0,1,0,0,FALSE
ABSOLUTION,2,1,0,0,0,0,0,3,0,0,FALSE
ABSOLUTISM,1,2,1,0,0,0,0,0,0,0,FALSE
ABSOLUTIST,1,2,1,0,1,0,0,0,0,0,FALSE
ABSOLVABLE,1,5,3,0,6,0,0,4,0,0,FALSE
ABSOLVE,1,4,0,0,0,0,0,0,0,0,FALSE
ABSORB,3,1,2,0,2,0,0,2,0,0,FALSE
ABSORBABILITY,4,4,3,0,4,3,1,2,0,0,FALSE
ABSORBABLE,1,2,0,1,0,0,0,1,0,0,FALSE
ABSORBED,1,3,1,0,1,0,0,1,0,0,FALSE
ABSORBENCY,3,4,0,0,2,0,0,2,0,0,FALSE
ABSORBENT,2,5,0,0,2,0,0,0,0,0,FALSE
ABSORBER,1,3,2,1,1,0,0,0,0,0,FALSE
ABSORBING,1,2,0,1,0,0,0,0,0,0,FALSE
ABSORBINGLY,1,2,0,1,1,0,0,0,0,0,FALSE
ABSORPTION,1,2,0,0,1,0,0,0,0,0,FALSE
ABSORPTIVENESS,1,3,0,0,0,0,0,0,0,0,FALSE
ABSTAIN,2,1,0,1,1,0,0,1,0,0,FALSE
ABSTAINER,2,2,0,0,0,0,0,0,0,0,FALSE
ABSTENTION,2,3,1,1,1,0,0,0,0,0,FALSE
ABSTINENCE,3,3,0,0,2,1,0,0,1,0,FALSE
ABSTINENT,2,3,0,0,2,0,0,0,0,0,FALSE
ABSTINENTLY,2,1,0,0,1,2,0,0,0,0,FALSE
ABSTRACT,1,2,0,0,0,0,0,0,0,0,FALSE
ABSTRACTED,1,2,1,0,0,0,0,0,0,0,FALSE
ABSTRACTEDLY,1,1,0,0,1,0,0,1,0,0,FALSE
ABSTRACTEDNESS,1,2,0,0,1,0,0,1,0,0,FALSE
ABSTRACTION,2,2,0,0,1,0,0,1,0,0,FALSE
ABSTRACTIONISM,2,2,1,0,2,1,0,1,0,0,FALSE
ABSTRACTIONIST,1,3,0,0,1,1,0,0,0,0,FALSE
ABSTRACTIVE,2,3,0,1,1,0,1,0,0,0,FALSE
ABSTRACTLY,2,2,1,0,0,0,0,1,0,0,FALSE
ABSTRACTNESS,1,4,0,0,1,0,0,0,0,0,FALSE
ABSURD,1,2,0,0,2,0,0,1,0,0,FALSE
ABSURDITY,2,4,0,0,1,0,0,0,0,0,FALSE
ABSURDLY,1,3,0,0,0,0,0,0,0,0,FALSE
ABSURDNESS,2,3,0,0,1,0,0,0,0,0,FALSE
ABUNDANCE,3,3,0,0,0,0,0,0,0,0,FALSE
ABUNDANT,0,2,0,0,1,1,0,0,0,0,FALSE
ABUNDANTLY,1,1,0,0,0,0,0,0,0,0,FALSE
ABUSE,0,1,0,0,0,0,0,0,0,0,FALSE
ABUSER,2,2,1,0,0,0,0,0,0,0,FALSE
ABUSIVE,2,1,0,1,0,0,0,0,0,0,FALSE
ABUSIVELY,1,1,1,1,0,0,0,0,0,0,FALSE
ABUSIVENESS,1,1,0,0,0,0,0,0,0,0,FALSE
ABYSMALLY,0,2,1,1,0,0,0,0,0,0,FALSE
ABYSS,0,2,0,0,0,0,0,0,0,0,FALSE
ACADEMIA,1,2,0,1,0,0,0,0,0,0,FALSE
ACADEMIC,1,2,0,0,1,0,0,0,0,0,FALSE
ACADEMIC YEAR,2,3,0,0,0,0,0,0,0,0,FALSE
ACADEMICALLY,0,2,1,0,0,0,0,0,0,0,FALSE
ACADEMY,0,0,0,0,0,0,0,1,0,0,FALSE
ACCELERANT,0,1,0,0,0,0,0,1,0,0,FALSE
ACCELERATE,0,2,0,0,0,0,0,0,0,0,FALSE
ACCELERATED,0,1,0,0,0,0,0,0,0,0,FALSE
ACCELERATION,0,3,1,0,0,0,0,2,0,0,FALSE
ACCELERATIVE,2,1,0,1,0,0,0,0,0,0,FALSE
ACCELERATOR,1,3,0,1,0,0,0,0,0,0,FALSE
ACCELERATORY,3,2,1,0,1,1,0,0,1,0,FALSE
ACCELEROMETER,1,2,0,0,0,0,0,0,0,0,FALSE
ACCENT,1,1,1,0,1,0,0,1,0,0,FALSE
ACCENTUALLY,1,4,0,0,0,0,0,0,0,0,FALSE
ACCENTUATE,2,2,0,0,0,0,0,0,0,0,FALSE
ACCENTUATION,1,1,0,0,0,1,0,1,0,0,FALSE
ACCEPT,2,1,0,0,1,2,0,0,0,0,FALSE
ACCEPTABILITY,2,1,2,0,1,1,0,0,0,0,FALSE
ACCEPTABLE,1,2,0,0,0,0,0,0,0,0,FALSE
ACCEPTABLENESS,1,2,2,0,1,0,0,0,0,0,FALSE
ACCEPTABLY,1,1,0,0,1,2,0,0,0,0,FALSE
ACCEPTANCE,3,3,0,1,2,3,0,0,1,0,FALSE
ACCEPTANT,1,1,1,0,0,1,0,0,0,0,FALSE
ACCEPTED,2,1,0,1,0,2,0,0,0,0,FALSE
ACCEPTOR,1,2,1,1,1,0,0,0,0,0,FALSE
ACCESS,1,1,3,0,1,1,0,0,0,0,FALSE
ACCESSIBILITY,2,3,0,0,0,0,0,0,0,0,FALSE
ACCESSIBLE,3,1,0,1,1,1,0,0,0,0,FALSE
ACCESSIBLY,1,1,0,0,0,0,0,2,0,0,FALSE
ACCESSORIZE,1,4,0,0,0,0,0,0,0,0,FALSE
ACCESSORY,3,1,1,0,0,0,0,1,0,0,FALSE
ACCIDENT,3,4,0,1,1,0,0,1,0,0,FALSE
